#"date","meal","food","weight"
190323,"d","Tomatoes, standard, raw",115.0
190323,"br","mixed nuts with honey",20.0
190323,"br","chocolate,nut,dark",5.0
190325,"b","Bread, white, average",36.0
190325,"b","Eggs, chicken, whole, raw",87.0
190325,"b","butter,clarified",4
190325,"l","Potatoes, new and salad, flesh only, raw",138.7
190325,"l","Tuna, canned in sunflower oil, drained",66.7
190325,"l","Onions, raw",71.3
190325,"l","Cream, dairy, extra thick (24% fat)",118.0
190325,"l","Cabbage, average, raw",59.0
190325,"d","Turkey, light meat, raw",150.0
190325,"d","mayoyo",30
190325,"d","Aubergine, raw",100.0
190325,"br","Cheesecake",112.0
190325,"br","Avocado, average, flesh only",74.0
190325,"br","mayoyo",15.0
190325,"br","Turkey, light meat, raw",100.0
190326,"b","Bread, white, average",36.0
190326,"b","Eggs, chicken, whole, raw",42.0
190326,"b","butter,clarified",4
190326,"l","Potatoes, new and salad, flesh only, raw",138.7
190326,"l","Tuna, canned in sunflower oil, drained",66.7
190326,"l","Onions, raw",71.3
190326,"l","Cream, dairy, extra thick (24% fat)",118.0
190326,"l","Cabbage, average, raw",59.0
190326,"d","Turkey, light meat, raw",150.0
190326,"d","mayoyo",30
190326,"d","Aubergine, raw",100.0
190326,"br","Cheesecake",112.0
190326,"br","Avocado, average, flesh only",74.0
190326,"br","mayoyo",15.0
190326,"br","Turkey, light meat, raw",100.0
190405,"b","Bread, white, average",36.0
190405,"b","Eggs, chicken, whole, raw",47.0
190405,"b","butter,clarified",4
190405,"l","Potatoes, new and salad, flesh only, raw",139.0
190405,"l","Tuna, canned in sunflower oil, drained",50.0
190405,"l","Tomatoes, standard, raw",147.0
190405,"br","Apples, eating, raw, flesh and skin",87.0
190405,"br","Cheese, Mozzarella, fresh",30.0
190405,"d","Beef, braising steak, raw, lean",150.0
190405,"d","Cream, dairy, extra thick (24% fat)",45.5
190405,"d","Mushrooms, white, raw",150.0
190405,"br","Avocado, average, flesh only",57.0
190405,"br","mayoyo",15.0
190405,"br","Turkey, light meat, raw",100.0
190405,"br","almond bites",12.0
190406,"b","Bread, white, average",36.0
190406,"b","Eggs, chicken, whole, raw",47.0
190406,"b","butter,clarified",4
190406,"l","Potatoes, new and salad, flesh only, raw",139.0
190406,"l","Tuna, canned in sunflower oil, drained",50.0
190406,"l","Tomatoes, standard, raw",147.0
190406,"br","Apples, eating, raw, flesh and skin",87.0
190406,"br","Cheese, Mozzarella, fresh",60.0
190406,"d","Beef, braising steak, raw, lean",150.0
190406,"d","Cream, dairy, extra thick (24% fat)",45.5
190406,"d","Mushrooms, white, raw",150.0
190406,"br","Avocado, average, flesh only",75.0
190406,"br","mayoyo",15.0
190406,"br","Turkey, light meat, raw",100.0
190406,"br","almond bites",15.0
190408,"b","Bread, white, average",36.0
190408,"b","Eggs, chicken, whole, raw",47.0
190408,"b","butter,clarified",4.0
190408,"l","Potatoes, new and salad, flesh only, raw",150.0
190408,"l","Spring onions, bulbs and tops, raw",15.0
190408,"l","Cheese, cottage, plain",133.3
190408,"d","Tomatoes, standard, raw",100.0
190408,"d","Aubergine, raw",120.0
190408,"d","Turkey, light meat, raw",150.0
190408,"d","Cheese, Ricotta",10.0
190408,"br","Sugar, white",70.0
190408,"br","Strawberries, raw",400.0
190408,"br","almond bites",14.0
190713,"b","Bread, white, average",36.0
190713,"b","Eggs, chicken, whole, raw",52.0
190713,"b","butter,clarified",5
190713,"l","Tomatoes, standard, raw",130.0
190713,"l","Potatoes, new and salad, flesh only, raw",150.0
190713,"l","Frankfuter,mixed",125.0
190713,"l","mayoyo",15.0
190713,"br","Beef, braising steak, raw, lean",150.0
190713,"br","Avocado, average, flesh only",83.0
190713,"br","Cucumber, raw, flesh and skin",88.0
190713,"br","Lettuce, average, raw",36.0
190713,"br","mayoyo",15.0
190713,"d","Pork, diced, raw, lean",133
190713,"d","Cucumber, raw, flesh and skin",100.0
190713,"br","Figs, whole green fruit, raw",77.0
190714,"b","Bread, white, average",36.0
190714,"b","Eggs, chicken, whole, raw",52.0
190714,"b","butter,clarified",5
190714,"l","Lentils, green and brown, whole, dried, raw",50.0
190714,"l","Onions, raw",42.0
190714,"l","Pepper, capsicum, red, raw",65.0
190714,"br","Figs, whole green fruit, raw",40.0
190714,"d","Avocado, average, flesh only",120.0
190714,"d","Cucumber, raw, flesh and skin",150.0
190714,"d","Chicken, meat, average, raw",200.0
190714,"br","Bread, white, average",21.0
190714,"br","cheese, spread,milbona",31.0
190716,"b","Bread, white, average",36.0
190716,"b","Eggs, chicken, whole, raw",52.0
190716,"b","butter,clarified",5
190716,"l","Lentils, green and brown, whole, dried, raw",50.0
190716,"l","Onions, raw",42.0
190716,"l","Pepper, capsicum, red, raw",65.0
190716,"br","Bread, white, average",36.0
190716,"d","Avocado, average, flesh only",77.0
190716,"d","Chicken, meat, average, raw",200.0
190716,"br","Bread, white, average",21.0
190716,"br","cheese, spread,milbona",100.0
190716,"br","Cheesecake,alonds",135.0
190717,"b","Bread, white, average",36.0
190717,"b","Eggs, chicken, whole, raw",52.0
190717,"b","butter,clarified",5
190717,"l","Cheesecake,alonds",135.0
190717,"d","Pork, diced, raw, lean",200.0
190717,"d","Aubergine, raw",132.0
190717,"d","Tomatoes, standard, raw",132.0
190719,"b","Corn snacks",45.0
190719,"l","Potatoes, new and salad, flesh only, raw",150.0
190719,"l","Frankfuter,mixed",125.0
190719,"br","Cucumber, raw, flesh and skin",250.0
190719,"d","passata",250.0
190719,"d","Aubergine, raw",80.0
190719,"d","Onions, raw",42.0
190719,"d","Sausages, premium, raw",150.0
190720,"b","Bread, white, average",36.0
190720,"b","Eggs, chicken, whole, raw",52.0
190720,"b","butter,clarified",5
190720,"d","Aubergine, raw",80.0
190720,"d","Onions, raw",42.0
190720,"d","Sausages, premium, raw",150.0
190720,"d","Chicken, meat, average, raw",320.0
190720,"br","Biscuits, short, sweet",55.0
190827,"b","Bread, white, average",36.0
190827,"b","Eggs, chicken, whole, raw",52.0
190827,"b","butter,clarified",5
190827,"l","Onions, raw",42.0
190827,"l","Aubergine, raw",70.0
190827,"l","Tomatoes, standard, raw",170.0
190827,"l","Beef, braising steak, raw, lean",100.0
190827,"d","Turkey, light meat, raw",150.0
190827,"d","Avocado, average, flesh only",74.0
190827,"d","Cucumber, raw, flesh and skin",107.0
190827,"br","Bananas, flesh only",200.0
190827,"br","Creme caramel, retail",125.0
190827,"br","soba", 70.0
190828,"b","Bread, white, average",36.0
190828,"b","Eggs, chicken, whole, raw",52.0
190828,"b","butter,clarified",5
190828,"l","Onions, raw",42.0
190828,"l","ricotta salata",7
190828,"l","Aubergine, raw",70.0
190828,"l","Tomatoes, standard, raw",170.0
190828,"l","Beef, braising steak, raw, lean",100.0
190828,"d","Turkey, light meat, raw",150.0
190828,"d","Avocado, average, flesh only",74.0
190828,"d","Cucumber, raw, flesh and skin",107.0
190828,"br","Peaches, flesh and skin, raw, weighed with stone",100.0
190828,"br","Creme caramel, retail",125.0
190828,"br","soba", 70.0
190828,"br","Tortilla chips fried in sunflower oil", 40.0
190828,"br","Mayonnaise, standard, retail",25.0
190830,"b","Bread, white, average",36.0
190830,"b","Eggs, chicken, whole, raw",52.0
190830,"b","butter,clarified",5
190830,"l","Onions, raw",42.0
190830,"l","ricotta salata",8
190830,"l","Aubergine, raw",70.0
190830,"l","Tomatoes, standard, raw",170.0
190830,"l","Beef, braising steak, raw, lean",100.0
190830,"d","Turkey, light meat, raw",150.0
190830,"d","Carrots, old, raw",113.0
190830,"d","Radish, red, raw, flesh and skin",100.0
190830,"br","Peaches, flesh and skin, raw, weighed with stone",220.0
190830,"br","Apple,pastry", 97.0
